latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
66.95405,56.65571,329.9,0.38,0.58,2024-12-01,58,N,VIIRS,n,2.0NRT,263.17,2.07,N
66.95421,56.66035,326.02,0.38,0.58,2024-12-01,58,N,VIIRS,n,2.0NRT,262.98,1.57,N
51.68903,15.98218,334.76,0.38,0.36,2024-12-01,104,N,VIIRS,n,2.0NRT,273.7,2.88,N
52.17299,14.61257,297.45,0.39,0.36,2024-12-01,104,N,VIIRS,n,2.0NRT,274.68,0.87,N
52.39925,12.49568,326.17,0.43,0.38,2024-12-01,104,N,VIIRS,n,2.0NRT,272.88,2.16,N
52.40271,12.49683,296.22,0.43,0.38,2024-12-01,104,N,VIIRS,n,2.0NRT,273.89,2.16,N
53.13357,8.68231,322.9,0.57,0.43,2024-12-01,104,N,VIIRS,n,2.0NRT,277.1,2.56,N
53.13832,8.67465,301.69,0.57,0.43,2024-12-01,104,N,VIIRS,n,2.0NRT,275.41,1.63,N
53.51139,10.03527,295.45,0.52,0.41,2024-12-01,104,N,VIIRS,n,2.0NRT,273.24,0.75,N
53.52043,9.90011,314.52,0.52,0.42,2024-12-01,104,N,VIIRS,n,2.0NRT,272.83,1.8,N
53.52425,9.90117,306.48,0.52,0.42,2024-12-01,104,N,VIIRS,n,2.0NRT,274.12,1.8,N
45.12257,25.41965,311.35,0.32,0.55,2024-12-01,106,N,VIIRS,n,2.0NRT,275.3,1.64,N
45.95238,25.28031,297.18,0.6,0.53,2024-12-01,106,N,VIIRS,n,2.0NRT,275.62,1.71,N
46.00446,13.25172,297.05,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,277.06,0.66,N
46.06816,13.6294,306.21,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,274.98,0.6,N
46.41983,14.10001,295.75,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,273.24,0.65,N
47.46583,12.63014,296.93,0.39,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,268.03,0.66,N
47.79216,12.18333,296.44,0.4,0.37,2024-12-01,106,N,VIIRS,n,2.0NRT,271.08,0.74,N
48.25534,20.35217,295.2,0.5,0.41,2024-12-01,106,N,VIIRS,n,2.0NRT,270.55,0.9,N
48.27538,14.3384,337.8,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,278,4.05,N
48.27704,14.34976,296.93,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,274.21,1.28,N
48.27864,14.33954,318.63,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,272.9,4.05,N
48.45723,17.19221,298.39,0.41,0.37,2024-12-01,106,N,VIIRS,n,2.0NRT,273.31,0.7,N
48.60473,21.17476,339.13,0.52,0.42,2024-12-01,106,N,VIIRS,n,2.0NRT,272.28,16.42,N
48.60843,21.17657,333.55,0.52,0.42,2024-12-01,106,N,VIIRS,n,2.0NRT,276.52,16.42,N
49.67887,18.66575,324.31,0.42,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,273.86,4,N
49.67997,18.66004,296.44,0.42,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,272.68,2.46,N
49.68333,18.66156,297,0.42,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,274.45,2.46,N
50.33014,19.28829,331.08,0.43,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,275.55,7.03,N
50.33352,19.28987,342.64,0.43,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,275.81,7.03,N
50.33691,19.29145,295.13,0.43,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,275.06,1.06,N
50.34251,19.33876,302.84,0.43,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,278.68,0.97,N
50.41407,18.14251,342.45,0.41,0.37,2024-12-01,106,N,VIIRS,n,2.0NRT,274.71,2.94,N
50.41438,18.14056,337.82,0.41,0.37,2024-12-01,106,N,VIIRS,n,2.0NRT,275.43,5.09,N
50.41739,18.14398,300.67,0.41,0.37,2024-12-01,106,N,VIIRS,n,2.0NRT,277.88,2.94,N
50.53304,17.97927,316.06,0.4,0.37,2024-12-01,106,N,VIIRS,n,2.0NRT,275.94,1.68,N
50.65047,11.41417,299.96,0.44,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,270.07,0.77,N
50.76411,5.6694,300.26,0.47,0.48,2024-12-01,106,N,VIIRS,n,2.0NRT,273.88,1.18,N
50.83862,6.94602,310.02,0.42,0.45,2024-12-01,106,N,VIIRS,n,2.0NRT,273.23,1.01,N
51.04375,2.31727,295.06,0.33,0.55,2024-12-01,106,N,VIIRS,n,2.0NRT,262.87,0.53,N
51.04476,2.29298,312.49,0.33,0.55,2024-12-01,106,N,VIIRS,n,2.0NRT,264.86,1.84,N
51.0724,6.84106,299.57,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,275.29,0.61,N
51.17449,16.11376,300.04,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,269.95,1.01,N
51.17774,16.11508,327.43,0.38,0.36,2024-12-01,106,N,VIIRS,n,2.0NRT,272.22,4.18,N
51.2694,11.6627,298.37,0.44,0.38,2024-12-01,106,N,VIIRS,n,2.0NRT,269.22,0.53,N
51.2981,7.00847,309.02,0.42,0.45,2024-12-01,106,N,VIIRS,n,2.0NRT,275.64,1.03,N
51.36357,6.71101,333.39,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,276.93,2.54,N
51.36405,6.70468,296.27,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,273.85,2.54,N
51.36782,6.71185,306.13,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,276.93,2.94,N
51.36831,6.70551,338.28,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,281.92,2.94,N
51.42638,6.73642,309.18,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,275.12,1.07,N
51.45919,6.73839,310.61,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,273.97,1.54,N
51.46344,6.73926,299.94,0.43,0.46,2024-12-01,106,N,VIIRS,n,2.0NRT,274.32,0.73,N
